"b0";"b1";"b2";"b3";"var_delta";"asve";"avp2";"p_r2"
0,030;0,000;0,000;0,000;0,0023;0,0001;0,0023;"-"
(0,008);(0,000);(0,000);(0,000);;;;
0,030;0,005;0,000;0,000;0,0023;0,0001;0,0024;-0,0109
(0,008);(0,006);(0,000);(0,000);;;;
0,030;0,000;-0,015;0,000;0,0016;0,0001;0,0017;0,2799
(0,008);(0,000);(0,005);(0,000);;;;
0,030;0,006;-0,016;0,000;0,0016;0,0002;0,0018;0,2882
(0,008);(0,006);(0,005);(0,000);;;;
0,030;0,000;0,000;0,006;0,0023;0,0001;0,0024;-0,0017
(0,008);(0,000);(0,000);(0,006);;;;
0,030;0,002;0,000;0,005;0,0024;0,0002;0,0025;-0,0309
(0,008);(0,007);(0,000);(0,007);;;;
0,030;0,000;-0,016;0,007;0,0016;0,0002;0,0018;0,2956
(0,008);(0,000);(0,005);(0,006);;;;
0,030;0,004;-0,016;0,005;0,0017;0,0003;0,0019;0,2730
(0,008);(0,007);(0,005);(0,007);;;;
